売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
75141,110725,15,泉州防災株式会社                                ,社会福祉法人光生会　非常照明修繕                ,防災,1,,,,,,,,,,,,
75142,110725,15,泉州防災株式会社                                ,Ｐ＆Ｇ17階ブースター排水管工事（100A）          ,防災,1,,,,,,,,,,,,
75150,110725,15,泉州防災株式会社                                ,イオン泉南　ペットショップ工事                  ,防災,1,,,,,,,,,,,,
75151,110725,15,泉州防災株式会社                                ,イオン泉南修理                                  ,防災,1,,,,,,,,,,,,
75152,110725,15,泉州防災株式会社                                ,鶴橋温泉システム変更追加工事                    ,防災,1,,,,,,,,,,,,
75103,110725,174,株式会社松源                                    ,よってって貴志川店誤報修理                      ,防災,1,,,,,,,,,,,,
75113,110725,291,株式会社　ドゥ・オペレーション                  ,ホテルシルフ　ブロアー調査及び取替              ,電気,1,,,,,,,,,,,,
75102,110725,419,綜合警備保障株式会社                            ,六十谷駐輪場感知器交換                          ,防災,1,,,,,,,,,,,,
75117,110723,150,ファースト                                      ,平成23年7月23日　消防設備保守点検後改修         ,防災,1,,,,,,,,,,,,
75204,110722,48,有限会社レインボーシステムズ                    ,7月22日　ﾜｰﾙﾄﾞﾌﾟﾗｻﾞ南海                         ,電気,1,,,,,,,,,,,,
75205,110722,48,有限会社レインボーシステムズ                    ,7月22日 パルビル　電球交換                      ,電気,1,,,,,,,,,,,,
75206,110722,48,有限会社レインボーシステムズ                    ,7月22日　エクロールプラザ　電球交換             ,電気,1,,,,,,,,,,,,
75207,110722,48,有限会社レインボーシステムズ                    ,7月22日　ﾜｰﾙﾄﾞﾌﾟﾗｻﾞ南海　電球交換               ,電気,1,,,,,,,,,,,,
75094,110722,396,大和リビング株式会社　関西支店                  ,ｶｰｻﾞｴﾌﾘｰﾙA・B　消防設備保守点検                 ,防災,1,,,,,,,,,,,,
75131,110720,26,有限会社和歌浦電業                              ,たっちゃんち　届出書類及び消防検査立会費        ,防災,1,,,,,,,,,,,,
75144,110720,26,有限会社和歌浦電業                              ,憩いの郷　消防設備工事 出来高                   ,防災,1,,,,,,,,,,,,
75096,110720,35,葵消防設備                                      ,ハート＆ハート妙寺店　安定器取替・結線          ,電気,1,,,,,,,,,,,,
75159,110720,35,葵消防設備                                      ,ﾊｰﾄ＆ﾊｰﾄ塩屋店　安定器取替・結線　6/30          ,電気,1,,,,,,,,,,,,
75097,110720,36,有限会社紀州エンジニアリング                    ,日高学童保育                                    ,防災,1,,,,,,,,,,,,
75143,110720,36,有限会社紀州エンジニアリング                    ,御食事処　徳豊　消防設備保守点検                ,防災,1,,,,,,,,,,,,
75116,110720,37,株式会社阪本電気                                ,ふくろう亭様                                    ,防災,1,,,,,,,,,,,,
75109,110720,38,伸和電設株式会社                                ,三菱7工場試験室LAN工事                          ,電気,1,,,,,,,,,,,,
75110,110720,38,伸和電設株式会社                                ,三菱電機7工場外部スピーカー工事                 ,電気,1,,,,,,,,,,,,
75093,110720,45,株式会社アイワライフネット                      ,ﾌｫﾚｽﾄﾎﾞｯｸｽ　　　　　　消防設備保守点検          ,防災,1,,,,,,,,,,,,
75111,110720,46,田上電機システム                                ,共栄フード様                                    ,防災,1,,,,,,,,,,,,
75105,110720,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所              ,防災,1,,,,,,,,,,,,
75106,110720,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所              ,防災,1,,,,,,,,,,,,
75107,110720,49,株式会社堀田組                                  ,三菱電機健康保険組合                            ,防災,1,,,,,,,,,,,,
75108,110720,49,株式会社堀田組                                  ,三菱電機健康保険組合                            ,防災,1,,,,,,,,,,,,
75130,110720,60,有限会社梶本無線商会                            ,住金エアコン取替応援                            ,電気,1,,,,,,,,,,,,
75098,110720,85,有限会社フジテック                              ,松源日方店様                                    ,防災,1,,,,,,,,,,,,
75112,110720,141,株式会社オーティーエル                          ,アクロス新大阪工事                              ,防災,1,,,,,,,,,,,,
75115,110720,167,建築工房アドミック                              ,宮本ビル刀根会計様                              ,電気,1,,,,,,,,,,,,
75126,110720,189,株式会社将勇興産                                ,事務所１階 20W電球                              ,電気,1,,,,,,,,,,,,
75145,110720,286,株式会社　東洋エンタープライズ                  ,きのくにアバローム様　消防設備保守点検          ,防災,1,,,,,,,,,,,,
75128,110720,292,中谷電気工事株式会社                            ,ディサービスイチエ様                            ,防災,1,,,,,,,,,,,,
75129,110720,292,中谷電気工事株式会社                            ,コーナン吉備店                                  ,防災,1,,,,,,,,,,,,
75119,110720,365,菱紀塗装工業株式会社                            ,消防設備点検                                    ,防災,1,,,,,,,,,,,,
75162,110720,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
