売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
88683,210526,45,株式会社アイワライフネット                      ,ロイヤルコーポ前田　304号室                     ,防災,1,,,,,,,,,,,,
88764,210526,A09,有限会社畑野化成研究所                          ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
88632,210526,A71,ユーフーズ株式会社                              ,ユーフーズ株式会社　様                          ,防災,1,,,,,,,,,,,,
88691,210525,152,有限会社いわでん                                ,HondaCars紀の川サービス工場                     ,防災,1,,,,,,,,,,,,
88706,210525,279,オリエントホームズ株式会社                      ,吉岡商店様                                      ,電気,1,,,,,,,,,,,,
88618,210525,505,神樂防災株式会社                                ,図面作成費                                      ,防災,1,,,,,,,,,,,,
88628,210525,A59,グリーンシャポービル管理組合                    ,グリーンシャポービル                            ,防災,1,,,,,,,,,,,,
88638,210525,A82,ファイブ住研株式会社                            ,宮本様邸                                        ,防災,1,,,,,,,,,,,,
88620,210524,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
88699,210524,292,中谷電気工事株式会社                            ,バイオメディカルサイエンスセンター              ,電気,1,,,,,,,,,,,,
88695,210524,546,株式会社江川組                                  ,キングライン湊危険物倉庫分　納品                ,防災,1,,,,,,,,,,,,
88682,210522,45,株式会社アイワライフネット                      ,ディアス川畑                                    ,防災,1,,,,,,,,,,,,
88636,210522,259,アサカワリフォーム株式会社                      ,水崎様邸　ルームエアコン取付工事                ,電気,1,,,,,,,,,,,,
88624,210521,15,泉州防災株式会社                                ,イオンモール日根野店                            ,防災,1,,,,,,,,,,,,
88681,210521,45,株式会社アイワライフネット                      ,福島第3マンション　105号室                      ,防災,1,,,,,,,,,,,,
88616,210521,652,小川電機株式会社　貝塚営業所                    ,ジョイフル国分　2階　｢ヨシオカ｣                 ,防災,1,,,,,,,,,,,,
88584,210520,45,株式会社アイワライフネット                      ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88581,210520,378,積水ハウス不動産関西株式会社                    ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88646,210520,751,岡野消防設備株式会社                            ,神戸　日本通運                                  ,防災,1,,,,,,,,,,,,
88596,210519,3,株式会社 アストライン                           ,消防設備保守点検に伴う修理                      ,防災,1,,,,,,,,,,,,
88594,210519,663,アバローム紀の国                                ,そよかぜの間                                    ,防災,1,,,,,,,,,,,,
88639,210518,284,株式会社杉本興業                                ,消火器処分費                                    ,防災,1,,,,,,,,,,,,
88601,210518,582,やすらぎの郷　メゾンドシンフォニー              ,メゾンドシンフォニー様                          ,防災,1,,,,,,,,,,,,
88703,210518,881,株式会社赤土建設                                ,深野様邸                                        ,電気,1,,,,,,,,,,,,
88655,210517,207,ニッタン株式会社　和歌山営業所                  ,京橋別館2棟外2ヶ所防火ﾀﾞﾝﾊﾟｰ動作不良修繕        ,防災,1,,,,,,,,,,,,
88622,210515,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
88591,210515,45,株式会社アイワライフネット                      ,カーササンライズ                                ,防災,1,,,,,,,,,,,,
88583,210515,634,1stSERVICE株式会社                              ,国保野上厚生総合病院                            ,電気,1,,,,,,,,,,,,
88630,210514,616,メディカルメイト株式会社                        ,やわらぎクリニック                              ,防災,1,,,,,,,,,,,,
88653,210514,729,ＡＬＳＯＫファシリティーズ株式会社              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88625,210513,15,泉州防災株式会社                                ,イオンモール日根野店                            ,防災,1,,,,,,,,,,,,
88626,210513,15,泉州防災株式会社                                ,イオンモール日根野店                            ,防災,1,,,,,,,,,,,,
88649,210513,751,岡野消防設備株式会社                            ,㈱旭物流　第8倉庫                               ,防災,1,,,,,,,,,,,,
88711,210513,972,株式会社スズキ自販和歌山                        ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88712,210512,152,有限会社いわでん                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88644,210512,751,岡野消防設備株式会社                            ,123座間店                                       ,防災,1,,,,,,,,,,,,
88648,210512,751,岡野消防設備株式会社                            ,123和歌山インター店　女子トイレ                 ,防災,1,,,,,,,,,,,,
88590,210511,45,株式会社アイワライフネット                      ,ウエストヴィレッジ2000Ⅱ                        ,防災,1,,,,,,,,,,,,
88651,210511,284,株式会社杉本興業                                ,御社社屋・吐前タイヤリサイクルセンター          ,防災,1,,,,,,,,,,,,
88614,210508,11,　川村　貴秀                                    ,MLZ-GZ5017AS                                    ,電気,1,,,,,,,,,,,,
88589,210508,45,株式会社アイワライフネット                      ,パティオス                                      ,防災,1,,,,,,,,,,,,
88634,210508,259,アサカワリフォーム株式会社                      ,瀬藤病院給湯配管修理                            ,防災,1,,,,,,,,,,,,
88597,210508,546,株式会社江川組                                  ,花王キングライン                                ,電気,1,,,,,,,,,,,,
88577,210507,652,小川電機株式会社　貝塚営業所                    ,エルベロワイヤル603号                           ,防災,1,,,,,,,,,,,,
88592,210507,38,伸和電設株式会社                                ,三菱電機㈱1L工場                                ,防災,1,,,,,,,,,,,,
88577,210507,652,小川電機株式会社　貝塚営業所                    ,エルベロワイヤル603号                           ,防災,1,,,,,,,,,,,,
88647,210507,751,岡野消防設備株式会社                            ,123水島店　Ⅱ期工事                             ,防災,1,,,,,,,,,,,,
88603,210506,48,有限会社レインボーシステムズ                    ,ワールドプラザ南海　電球交換                    ,電気,1,,,,,,,,,,,,
88604,210506,48,有限会社レインボーシステムズ                    ,ダイヤモンドプラザ　電球交換                    ,電気,1,,,,,,,,,,,,
88631,210506,452,株式会社大谷住宅設備                            ,日高町立志賀小学校                              ,防災,1,,,,,,,,,,,,
88700,210506,881,株式会社赤土建設                                ,中山様邸                                        ,防災,1,,,,,,,,,,,,
88621,210501,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
88546,210430,15,泉州防災株式会社                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88574,210430,199,株式会社アイセン                                ,株式会社アイセン様                              ,防災,1,,,,,,,,,,,,
88562,210430,259,アサカワリフォーム株式会社                      ,ひろみ家具                                      ,防災,1,,,,,,,,,,,,
88565,210430,259,アサカワリフォーム株式会社                      ,瀬藤病院ドレンパン設置工事                      ,電気,1,,,,,,,,,,,,
88560,210430,419,綜合警備保障株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88533,210430,616,メディカルメイト株式会社                        ,東大阪医療センター                              ,防災,1,,,,,,,,,,,,
88571,210430,616,メディカルメイト株式会社                        ,岸和田市民病院                                  ,防災,1,,,,,,,,,,,,
88559,210430,729,ＡＬＳＯＫファシリティーズ株式会社              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88539,210430,751,岡野消防設備株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88575,210430,751,岡野消防設備株式会社                            ,アスモ大和郡山                                  ,防災,1,,,,,,,,,,,,
88576,210430,751,岡野消防設備株式会社                            ,(仮称)コーナン足立扇店                          ,防災,1,,,,,,,,,,,,
88570,210430,899,廣見家具株式会社                                ,ひろみ家具泉佐野店新築工事                      ,防災,1,,,,,,,,,,,,
88578,210430,A65,共同産業株式会社　東京オフィス                  ,表参道インベストメントビル                      ,防災,1,,,,,,,,,,,,
88566,210428,419,綜合警備保障株式会社                            ,ロイヤルガーデン西浜                            ,防災,1,,,,,,,,,,,,
88544,210428,751,岡野消防設備株式会社                            ,123＋Nはりまや橋店                              ,防災,1,,,,,,,,,,,,
88573,210427,A83,株式会社幸生建設                                ,畑山製作所　千旦工場　納品                      ,防災,1,,,,,,,,,,,,
88495,210425,505,神樂防災株式会社                                ,図面作成費                                      ,防災,1,,,,,,,,,,,,
88554,210424,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
88556,210424,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
88542,210424,396,大和リビング株式会社　和歌山営業所              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88569,210423,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
88555,210421,15,泉州防災株式会社                                ,イオンモール日根野店                            ,防災,1,,,,,,,,,,,,
88540,210421,751,岡野消防設備株式会社                            ,123+N和歌山本店                                 ,防災,1,,,,,,,,,,,,
88478,210420,45,株式会社アイワライフネット                      ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88479,210420,45,株式会社アイワライフネット                      ,サンハイツ関戸B棟                               ,防災,1,,,,,,,,,,,,
88515,210420,180,株式会社成祐設備工業                            ,新宮家賃・光熱費(9月～2月）                     ,防災,1,,,,,,,,,,,,
88481,210420,378,積水ハウス不動産関西株式会社                    ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88509,210418,38,伸和電設株式会社                                ,三菱電機㈱冷熱システム製作所                    ,防災,1,,,,,,,,,,,,
88491,210417,950,浅井建設株式会社                                ,ライフサイズ野崎　様                            ,防災,1,,,,,,,,,,,,
88545,210416,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
88501,210416,48,有限会社レインボーシステムズ                    ,ダイヤモンドプラザ　電球交換                    ,電気,1,,,,,,,,,,,,
88504,210416,48,有限会社レインボーシステムズ                    ,ダイヤモンドプラザ　4階 「みやこ」              ,防災,1,,,,,,,,,,,,
88505,210416,48,有限会社レインボーシステムズ                    ,エクロールプラザ　電球交換                      ,電気,1,,,,,,,,,,,,
88488,210416,A82,ファイブ住研株式会社                            ,㈱阪南リサイクルセンタ様邸                      ,防災,1,,,,,,,,,,,,
88549,210415,15,泉州防災株式会社                                ,りんくうプレミアムアウトレットP1･P2･P3          ,防災,1,,,,,,,,,,,,
88493,210415,279,オリエントホームズ株式会社                      ,宮本様邸                                        ,電気,1,,,,,,,,,,,,
88537,210415,419,綜合警備保障株式会社                            ,㈱富玄　スカイビュー本町マンション              ,防災,1,,,,,,,,,,,,
88068,210415,634,1stSERVICE株式会社                              ,ＬＡＢＩ渋谷　消防申請                          ,防災,1,,,,,,,,,,,,
88069,210415,634,1stSERVICE株式会社                              ,YAMADA IKEBUKUROｱｳﾄﾚｯﾄ･ﾘﾕｰｽ＆TAXFREE館          ,防災,1,,,,,,,,,,,,
88070,210415,634,1stSERVICE株式会社                              ,ＬＡＢＩ新宿　消防申請                          ,防災,1,,,,,,,,,,,,
88071,210415,634,1stSERVICE株式会社                              ,コンセプトＬＡＢＩ東京　消防申請                ,防災,1,,,,,,,,,,,,
88482,210415,634,1stSERVICE株式会社                              ,テックランド久里浜店                            ,防災,1,,,,,,,,,,,,
88483,210415,634,1stSERVICE株式会社                              ,表参道Queency                                   ,防災,1,,,,,,,,,,,,
