売上日=uriagebi,"売上№=masterid,dempyounum",得意先ｺｰﾄﾞ=customerid,                                                                                                                                            ,
2020/11/28,87891,1055,   ,
2020/11/27,87892,15,   ,
2020/11/27,87922,148,   ,
2020/11/27,87943,152,   ,
2020/11/27,87944,152,   ,
2020/11/27,87971,519,   ,
2020/11/27,87853,751,   ,
2020/11/27,87913,1064,   ,
2020/11/26,87887,259,   ,
2020/11/26,87941,881,   ,
2020/11/25,87952,45,   ,
2020/11/25,87942,60,   ,
2020/11/25,87847,505,   ,
2020/11/25,87963,546,   ,
2020/11/24,88089,138,   ,
2020/11/24,88003,751,   ,
2020/11/24,87980,857,   ,
2020/11/21,87927,45,   ,
2020/11/21,87880,851,   ,
2020/11/20,87808,45,   ,
2020/11/20,87784,378,   ,
2020/11/20,87844,438,   ,
2020/11/20,87841,546,   ,
2020/11/20,87835,652,   ,
2020/11/20,87838,652,   ,
2020/11/19,87863,15,   ,
2020/11/19,87890,15,   ,
2020/11/19,87898,28,   ,
2020/11/19,87805,45,   ,
2020/11/19,87983,1068,   ,
2020/11/18,87860,15,   ,
2020/11/18,87861,15,   ,
2020/11/18,87866,15,   ,
2020/11/18,87878,338,   ,
2020/11/18,87845,438,   ,
2020/11/18,87846,438,   ,
2020/11/17,87895,141,   ,
2020/11/17,87885,202,   ,
2020/11/17,87850,419,   ,
2020/11/16,87865,15,   ,
2020/11/16,87810,152,   ,
2020/11/16,87811,152,   ,
2020/11/16,87812,152,   ,
2020/11/16,87840,546,   ,
2020/11/14,87862,15,   ,
2020/11/14,87867,15,   ,
2020/11/14,87826,173,   ,
2020/11/14,87819,279,   ,
2020/11/14,87896,616,   ,
2020/11/13,87888,437,   ,
2020/11/12,87818,19,   ,
2020/11/12,87824,48,   ,
2020/11/12,87883,207,   ,
2020/11/12,87794,972,   ,
2020/11/11,87781,1061,   ,
2020/11/7,87864,15,   ,
2020/11/7,87830,38,   ,
2020/11/7,87831,38,   ,
2020/11/7,87877,363,   ,
2020/11/6,87804,45,   ,
2020/11/6,87897,141,   ,
2020/11/6,87852,751,   ,
2020/11/5,87774,131,   ,
2020/11/5,87886,259,   ,
2020/11/5,88088,581,   ,
2020/11/5,87854,751,   ,
2020/11/4,87771,131,   ,
